sustained_wind_kmh,pressure_hpa,distance_to_coast_km,historical_cyclone_density,cyclone_season,label
79.6,990.5,165.0,0.0,1,1
83.3,989.2,147.0,0.276,1,1
64.8,995.4,60.0,0.0,1,1
46.3,1001.6,405.0,0.548,1,0
46.3,1001.6,289.0,0.274,1,0
46.3,1004.0,1225.0,0.0,1,0
64.8,996.0,1002.0,0.0,1,1
83.3,990.0,822.0,0.0,1,1
92.6,990.0,650.0,0.0,1,1
98.2,984.3,333.0,0.0,1,1
101.9,985.0,289.0,0.27,1,1
111.1,985.0,140.0,0.0,1,1
111.1,985.0,98.0,0.27,1,1
55.6,992.0,0.0,0.0,1,0
46.3,1001.6,174.0,0.263,0,0
46.3,1001.6,0.0,0.263,0,0
46.3,1001.6,0.0,0.0,0,0
46.3,1001.6,0.0,0.0,0,0
46.3,1001.6,0.0,0.0,0,0
46.3,1001.6,0.0,0.0,0,0
46.3,1001.6,0.0,0.0,0,0
46.3,1001.6,0.0,0.0,0,0
46.3,1001.6,239.0,1.04,0,0
46.3,1001.6,0.0,0.26,0,0
46.3,1001.6,0.0,0.0,0,0
46.3,1001.6,0.0,0.0,0,0
46.3,1001.6,0.0,0.0,0,0
46.3,1001.6,426.0,0.25,1,0
64.8,995.4,291.0,0.25,1,1
83.3,989.2,198.0,0.749,1,1
83.3,989.2,183.0,0.998,1,1
64.8,995.4,23.0,0.0,1,1
46.3,1001.6,0.0,0.249,1,0
55.6,998.5,569.0,0.245,1,0
70.4,993.6,283.0,0.0,1,1
135.2,971.9,100.0,0.245,1,2
157.4,964.4,32.0,0.0,1,2
157.4,964.4,43.0,0.244,1,2
148.2,967.5,0.0,0.488,1,2
83.3,989.2,0.0,0.732,1,1
55.6,998.5,394.0,0.242,1,0
79.6,990.5,414.0,0.0,1,1
98.2,984.3,395.0,0.483,1,1
125.9,975.0,212.0,0.483,1,2
138.9,970.6,65.0,0.241,1,2
51.9,999.8,524.0,0.0,1,0
70.4,993.6,989.0,0.0,1,1
101.9,983.0,872.0,0.0,1,1
111.1,979.9,630.0,0.0,1,1
111.1,979.9,435.0,0.0,1,1
92.6,986.1,80.0,0.0,1,1
37.0,1004.8,0.0,0.0,1,0
46.3,1001.6,525.0,0.651,1,0
64.8,995.4,525.0,0.65,1,1
83.3,989.2,337.0,0.433,1,1
111.1,979.9,88.0,0.217,1,1
111.1,979.9,23.0,0.433,1,1
79.6,990.5,538.0,0.432,1,1
92.6,986.1,373.0,0.648,1,1
92.6,986.1,228.0,0.216,1,1
74.1,992.3,45.0,0.0,1,1
37.0,1004.8,0.0,0.0,1,0
46.3,1001.6,130.0,0.832,0,0
46.3,1001.6,56.0,0.832,0,0
46.3,1001.6,0.0,0.0,0,0
46.3,1001.6,0.0,0.0,0,0
46.3,1001.6,106.0,0.83,0,0
46.3,1001.6,0.0,0.0,0,0
37.0,1004.8,0.0,0.0,0,0
37.0,1004.8,0.0,0.0,0,0
46.3,1001.6,237.0,1.445,0,0
46.3,1001.6,0.0,0.206,0,0
55.6,998.5,237.0,1.416,0,0
83.3,989.2,15.0,0.404,0,1
55.6,998.5,0.0,0.0,0,0
46.3,1001.6,0.0,0.0,0,0
46.3,1001.6,0.0,0.0,0,0
46.3,1001.6,317.0,0.0,1,0
46.3,1001.6,30.0,0.0,1,0
46.3,1001.6,125.0,0.2,1,0
46.3,1001.6,0.0,0.0,1,0
46.3,1001.6,66.0,0.0,1,0
37.0,1004.8,622.0,0.0,1,0
46.3,1001.6,0.0,0.0,1,0
70.4,993.6,467.0,0.6,1,1
92.6,986.1,107.0,0.6,1,1
92.6,986.1,15.0,0.4,1,1
42.6,1002.9,1112.0,0.0,1,0
79.6,990.5,221.0,0.0,1,1
64.8,995.4,0.0,0.2,1,1
51.9,999.8,1368.0,0.0,1,0
125.9,975.0,518.0,0.0,1,2
64.8,995.4,0.0,0.0,1,1
88.9,987.4,1557.0,0.0,1,1
46.3,1001.6,298.0,0.0,1,0
166.7,961.3,336.0,0.0,1,2
129.6,973.7,1387.0,0.0,1,2
64.8,995.4,391.0,0.998,1,1
185.2,965.0,198.0,0.0,1,2
246.3,934.6,972.0,0.0,1,2
88.9,987.4,15.0,0.399,1,1
166.7,970.0,0.0,0.0,1,2
277.8,895.0,672.0,0.0,1,2
92.6,986.1,0.0,0.598,1,1
277.8,895.0,428.0,0.0,1,2
55.6,998.5,0.0,0.0,1,0
240.8,915.0,44.0,0.0,1,2
153.7,965.7,392.0,0.0,1,2
166.7,960.0,272.0,0.0,1,2
148.2,980.0,10.0,0.0,1,2
46.3,1001.6,86.0,0.786,1,0
46.3,1001.6,193.0,0.589,1,0
51.9,999.8,653.0,0.0,1,0
70.4,993.6,484.0,0.0,1,1
92.6,986.1,294.0,0.0,1,1
101.9,983.0,10.0,0.588,1,1
46.3,1001.6,0.0,0.0,1,0
46.3,1001.6,524.0,0.0,1,0
55.6,998.5,542.0,0.0,1,0
74.1,992.3,580.0,0.193,1,1
92.6,986.1,338.0,0.58,1,1
92.6,986.1,230.0,0.773,1,1
74.1,992.3,0.0,0.579,1,1
70.4,993.6,302.0,0.0,0,1
83.3,989.2,231.0,0.191,0,1
64.8,995.4,119.0,0.191,0,1
64.8,995.4,67.0,0.381,0,1
55.6,998.5,260.0,0.761,0,0
46.3,1001.6,279.0,0.686,0,0
46.3,1001.6,213.0,0.514,0,0
46.3,1001.6,53.0,0.685,0,0
42.6,1002.9,386.0,0.171,0,0
55.6,994.0,314.0,0.0,0,0
107.4,981.2,425.0,0.171,0,1
129.6,975.0,280.0,0.0,0,2
46.3,1001.6,49.0,0.512,0,0
129.6,970.0,241.0,0.171,0,2
157.4,955.0,97.0,0.0,0,2
129.6,960.0,0.0,0.0,0,2
116.7,978.1,214.0,0.0,0,1
120.4,985.0,201.0,0.341,0,2
55.6,992.0,215.0,0.0,0,0
51.9,999.8,494.0,0.17,0,0
64.8,994.0,252.0,0.0,0,1
74.1,992.0,178.0,0.0,0,1
98.2,984.3,106.0,0.17,0,1
129.6,960.0,175.0,0.34,0,2
138.9,960.0,216.0,0.34,0,2
157.4,965.0,212.0,0.17,0,2
157.4,960.0,134.0,0.339,0,2
163.0,962.6,346.0,0.17,0,2
166.7,955.0,393.0,0.339,0,2
129.6,960.0,43.0,0.0,0,2
83.3,975.0,0.0,0.0,0,1
46.3,1001.6,106.0,1.008,0,0
46.3,1001.6,56.0,0.504,0,0
46.3,1001.6,61.0,0.165,1,0
55.6,998.5,15.0,0.987,1,0
92.6,986.1,24.0,0.0,1,1
83.3,989.2,813.0,0.0,1,1
83.3,989.2,946.0,0.164,1,1
46.3,1001.6,423.0,0.0,1,0
46.3,999.0,742.0,0.0,0,0
55.6,987.0,418.0,0.159,0,0
88.9,971.0,692.0,0.0,0,1
101.9,970.0,654.0,0.317,0,1
74.1,986.0,524.0,0.317,0,1
46.3,998.0,138.0,0.633,0,0
37.0,1004.8,316.0,0.0,1,0
46.3,1001.6,228.0,0.0,1,0
51.9,999.8,434.0,0.904,1,0
64.8,988.0,457.0,0.903,1,1
88.9,985.0,200.0,0.602,1,1
101.9,984.0,84.0,0.451,1,1
79.6,990.5,517.0,0.0,1,1
55.6,998.5,0.0,0.0,1,0
88.9,987.4,658.0,0.0,1,1
92.6,986.1,685.0,0.15,1,1
92.6,986.1,622.0,0.3,1,1
92.6,986.1,399.0,0.0,1,1
64.8,995.4,423.0,0.0,1,1
46.3,1001.6,438.0,0.15,1,0
55.6,998.5,317.0,0.15,1,0
46.3,1001.6,125.0,0.3,1,0
46.3,1001.6,769.0,0.0,0,0
27.8,1007.9,1236.0,0.0,0,0
61.1,996.7,674.0,0.0,0,0
37.0,1004.8,1207.0,0.0,0,0
92.6,986.1,649.0,0.0,0,1
37.0,1004.8,1140.0,0.0,0,0
190.8,953.2,474.0,0.0,0,2
37.0,1004.8,1184.0,0.0,0,0
259.3,890.0,228.0,0.0,0,2
37.0,1004.8,1218.0,0.0,0,0
250.0,910.0,21.0,0.0,0,2
70.4,993.6,991.0,0.146,0,1
203.7,935.0,24.0,0.0,0,2
101.9,1002.0,706.0,0.146,0,1
213.0,930.0,516.0,0.0,0,2
116.7,978.1,449.0,0.0,0,1
213.0,930.0,241.0,0.146,0,2
129.6,985.0,355.0,0.0,0,2
148.2,950.0,69.0,0.146,0,2
144.5,968.8,163.0,0.0,0,2
46.3,996.0,0.0,0.0,0,0
157.4,965.0,125.0,0.146,0,2
129.6,980.0,0.0,0.0,0,2
101.9,975.0,232.0,0.0,0,1
120.4,965.0,360.0,0.146,0,2
129.6,970.0,228.0,0.437,0,2
120.4,975.0,95.0,0.146,0,2
