event_id,began,ended,country,latitude,longitude,dead,displaced,main_cause,severity,magnitude
3077.000000,20070514,20070518,Afghanistan,36.52466,70.600123,34.000000,0.000000,Heavy rain,1.000000,4.889021
3069.000000,20070505,20070507,Afghanistan,36.294888,68.851838,12.000000,0.000000,Heavy rain,1.000000,4.889582
3068.000000,20070504,20070509,Burma,16.908898,96.131258,5.000000,0.000000,Heavy rain,1.000000,4.973220
3067.000000,20070502,20070507,Sri Lanka,6.494672,80.082226,16.000000,125000.000000,Heavy rain,1.000000,4.301898
3061.000000,20070423,20070504,Afghanistan,37.006303,70.73155,36.000000,0.000000,Rain and snowmelt,1.000000,5.518356
3055.000000,20070417,20070418,Afghanistan,35.270227,69.668198,6.000000,0.000000,Rain and snowmelt,1.000000,4.911371
3042.000000,20070320,20070331,India,33.481934,74.215593,12.000000,2000.000000,Rain and snowmelt,1.000000,5.912328
3016.000000,20070112,20070116,Sri Lanka,6.706132,80.946642,18.000000,61281.000000,Monsoonal rain,1.000000,4.716838
3004.000000,20061217,20061220,Sri Lanka,6.844545,81.662316,0.000000,40000.000000,Heavy rain,1.000000,4.436481
2992.000000,20061110,20061112,Afghanistan,34.219935,70.790926,9.000000,0.000000,Heavy rain,1.000000,3.623249
2985.000000,20061026,20061104,India,14.134853,79.932432,47.000000,225000.000000,Monsoonal rain,1.000000,5.603036
2984.000000,20061026,20061120,Sri Lanka,7.323636,80.031266,52.000000,88000.000000,Monsoonal rain,1.000000,5.258829
2970.000000,20060915,20061019,Burma (Myanmar),19.812232,95.447771,25.000000,10000.000000,Monsoonal rain,1.000000,6.818226
2968.000000,20060925,20060928,Nepal,27.25728,85.943703,4.000000,0.000000,Monsoonal rain,1.000000,5.021024
2965.000000,20060918,20061005,India,19.729951,83.746589,250.000000,50000.000000,Monsoonal rain,1.000000,6.974604
2961.000000,20060824,20060920,Bangladesh,23.229479,89.272707,0.000000,0.000000,Monsoonal rain,1.000000,5.895555
2958.000000,20060831,20060911,India,32.886368,73.884164,39.000000,3000.000000,Monsoonal rain,1.000000,6.229631
2956.000000,20060829,20060904,India,27.585296,81.51737,42.000000,50000.000000,Monsoonal rain,1.000000,5.359646
2954.000000,20060826,20060913,Nepal,28.694093,81.305997,60.000000,80000.000000,Monsoonal rain,1.500000,5.627156
2940.000000,20060801,20060910,India,18.104598,81.52884,185.000000,2000000.000000,Monsoonal rain,1.000000,7.093940
2936.000000,20060730,20060809,Afghanistan,34.078869,69.7467,35.000000,0.000000,Heavy rain,1.000000,5.841904
2935.000000,20060728,20060912,India,20.194292,73.824174,457.000000,140000.000000,Monsoonal rain,1.500000,7.681336
2931.000000,20060724,20060822,Pakistan,34.609786,73.199799,248.000000,0.000000,Monsoonal rain,1.000000,6.738860
2918.000000,20060703,20060712,Burma (Myanmar),18.23,95.05,1.000000,0.000000,Monsoonal rain,1.000000,6.189490
2917.000000,20060711,20060712,Pakistan,35.27,74.16,4.000000,0.000000,Heavy rain,1.000000,2.963788
